*SHIP
**CLASS	UNITS	LCG IN USE	LCG REF PT	LCG + DIR	VCG IN USE	TCG IN USE	TCG + DIR	POSITION FORMAT
DMS	METRIC	N	AP	F	N	N	PORT	BAY-STACK-TIER
*SECTION
**STAF BAY	LEVEL	20 NAME	40 NAME	SL Hatch	SL ForeAft	LCG 20	LCG 40	LCG 45	LCG 48	STACK WT 20	STACK WT 40	STACK WT 45	STACK WT 48	MAX HEIGHT	PAIRED BAY	REEFER PLUGS	DOORS	ATHWARTSHIPS	BULKHEAD	BULKHEAD LCG	LCG 24	STACK WT 24
05	B	08	-	18	16	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0508	-
05	B	09	-	18	18	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0509	-
05	B	10	-	18	18	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0510	-
07	A	01	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0701	0801
07	A	02	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0702	0802
07	A	03	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0703	0803
07	A	04	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0704	0804
07	A	05	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0705	0805
07	A	06	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0706	0806
07	A	07	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0707	0807
07	A	08	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0708	0808
07	A	09	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0709	0809
07	A	10	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0710	0810
07	A	11	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0711	0811
07	A	12	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0712	0812
07	A	13	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0713	0813
07	A	14	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0714	0814
07	A	15	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0715	0815
07	A	16	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0716	0816
07	B	01	-	18	04	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0701	0801
07	B	02	-	18	04	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0702	0802
07	B	03	-	18	06	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0703	0803
07	B	04	-	18	06	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0704	0804
07	B	05	-	18	10	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0705	0805
07	B	06	-	18	10	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0706	0806
07	B	07	-	18	14	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0707	0807
07	B	08	-	18	14	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0708	0808
07	B	09	-	18	16	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0709	0809
07	B	10	-	18	16	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0710	0810
07	B	11	-	18	18	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0711	0811
07	B	12	-	18	18	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0712	0812
09	A	01	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0901	-
09	A	02	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0902	-
09	A	03	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0903	-
09	A	04	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0904	-
09	A	05	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0905	-
09	A	06	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0906	-
09	A	07	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0907	-
09	A	08	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0908	-
09	A	09	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0909	-
09	A	10	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0910	-
09	A	11	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0911	-
09	A	12	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0912	-
09	A	13	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0913	-
09	A	14	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0914	-
09	A	15	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0915	-
09	A	16	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0916	-
09	B	01	-	18	04	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0901	-
09	B	02	-	18	04	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0902	-
09	B	03	-	18	06	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0903	-
09	B	04	-	18	06	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0904	-
09	B	05	-	18	08	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0905	-
09	B	06	-	18	08	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0906	-
09	B	07	-	18	12	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0907	-
09	B	08	-	18	12	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0908	-
09	B	09	-	18	14	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0909	-
09	B	10	-	18	14	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0910	-
09	B	11	-	18	16	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0911	-
09	B	12	-	18	16	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0912	-
09	B	13	-	18	18	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0913	-
09	B	14	-	18	18	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0914	-
11	A	01	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1101	1201
11	A	02	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1102	1202
11	A	03	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1103	1203
11	A	04	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1104	1204
11	A	05	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1105	1205
11	A	06	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1106	1206
11	A	07	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1107	1207
11	A	08	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1108	1208
11	A	09	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1109	1209
